id,release_date,revenue,title,vote_average,vote_count
322,10/7/2003,156822020,Mystic River,7.6,1473
326,8/6/2006,62022014,Snakes on a Plane,5.1,504
327,9/9/2000,15250000,Brother,6.8,107
329,6/11/1993,920100000,Jurassic Park,7.6,4956
330,5/23/1997,229074524,The Lost World: Jurassic Park,6.2,2528
331,7/18/2001,368780809,Jurassic Park III,5.7,2109
334,12/8/1999,48451803,Magnolia,7.5,844
335,12/21/1968,5321508,Once Upon a Time in the West,8.1,1160
339,10/3/1991,2015810,Night on Earth,7.5,165
340,9/16/2005,2697930,Everything is Illuminated,7.4,251
345,7/14/1999,162091208,Eyes Wide Shut,7.1,1266
346,4/26/1954,271841,Seven Samurai,8.2,892
348,5/25/1979,104931801,Alien,7.9,4564
350,6/30/2006,326551094,The Devil Wears Prada,7,3198
363,3/11/2004,11030861,Head-On,7.3,111
364,6/19/1992,280000000,Batman Returns,6.6,1706
377,11/14/1984,25504513,A Nightmare on Elm Street,7.2,1212
378,3/1/1987,29180280,Raising Arizona,7.2,548
379,9/21/1990,5080409,Millers Crossing,7.5,431
380,12/11/1988,412800000,Rain Man,7.6,1762
381,8/3/1955,8750000,To Catch a Thief,7.1,299
387,9/16/1981,85000000,Das Boot,7.9,623
388,3/23/2006,184376254,Inside Man,7.3,1671
389,3/25/1957,1000000,12 Angry Men,8.2,2130
391,9/12/1964,14500000,A Fistful of Dollars,7.6,909
392,12/14/2000,152500343,Chocolat,6.8,979
393,4/16/2004,152159461,Kill Bill: Vol. 2,7.7,4061
395,8/12/2004,171183863,AVP: Alien vs. Predator,5.6,1241
396,6/21/1966,33736689,Whos Afraid of Virginia Woolf?,7.8,199
398,9/30/2005,49084830,Capote,6.9,394
400,12/1/1995,529766,Things to Do in Denver When Youre Dead,6.7,87
401,7/28/2004,26781723,Garden State,7.1,631
402,3/20/1992,352927224,Basic Instinct,6.5,869
403,12/13/1989,145793296,Driving Miss Daisy,7,358
408,12/20/1937,184925486,Snow White and the Seven Dwarfs,6.9,1973
409,11/14/1996,231976425,The English Patient,7,559
414,6/16/1995,336529144,Batman Forever,5.2,1529
415,6/20/1997,238207122,Batman & Robin,4.2,1447
421,12/10/2004,34808403,The Life Aquatic with Steve Zissou,7.1,781
423,9/24/2002,120072577,The Pianist,8.1,1927
424,11/29/1993,321365567,Schindlers List,8.3,4436
425,3/10/2002,383257136,Ice Age,7.1,3954
426,5/9/1958,28000000,Vertigo,8,1162
431,9/9/1997,501818,Cube,6.9,1101
433,8/27/1964,102272727,Mary Poppins,7.4,1217
435,5/26/2004,544272402,The Day After Tomorrow,6.2,2462
439,2/5/1960,19516000,La Dolce Vita,7.9,305
440,12/25/2007,41797066,Aliens vs Predator: Requiem,4.9,758
441,5/18/2001,705308,Human Nature,6.1,74
445,5/2/2005,36000000,Caché,7,228
451,10/27/1995,49800000,Leaving Las Vegas,7.1,365
452,4/28/1998,7235,The Idiots,6.7,107
453,12/11/2001,313542341,A Beautiful Mind,7.7,3087
454,10/31/1996,147298761,Romeo + Juliet,6.7,1406
455,4/11/2002,76578641,Bend It Like Beckham,6.2,593
462,3/17/2000,256271286,Erin Brockovich,7.1,730
470,9/6/2003,60427839,21 Grams,7.2,943
473,7/10/1998,3221152,Pi,7.1,600
475,7/18/1967,50700000,Bonnie and Clyde,7.6,384
476,9/9/1989,4729352,Drugstore Cowboy,7,117
479,6/15/2000,107196498,Shaft,5.5,316
482,7/2/1971,12121618,Shaft,6.5,68
483,5/1/1990,14560247,Wild at Heart,7,341
488,12/3/1951,10750000,The African Queen,7.4,232
489,12/5/1997,225933435,Good Will Hunting,7.9,2880
492,9/30/1999,22863596,Being John Malkovich,7.3,1124
496,11/1/2006,261572744,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,1617
497,12/10/1999,284600000,The Green Mile,8.2,4166
500,9/2/1992,14661007,Reservoir Dogs,8.1,3821
503,5/12/2006,181674817,Poseidon,5.5,594
504,11/16/2003,60378584,Monster,7,500
506,7/9/1964,7000000,Marnie,7.2,233
507,10/1/1993,418961,Killing Zoe,6.1,111
508,9/7/2003,244931766,Love Actually,7,1917
509,5/13/1999,363889678,Notting Hill,7,1309
510,11/18/1975,108981275,One Flew Over the Cuckoos Nest,8.3,3001
512,7/27/2006,31584901,Scoop,6.4,435
521,5/29/1954,3000000,Dial M for Murder,7.9,539
522,9/27/1994,5887457,Ed Wood,7.3,639
524,11/22/1995,116112375,Casino,7.8,1343
525,6/17/1980,115229890,The Blues Brothers,7.5,1092
526,3/27/1985,18432000,Ladyhawke,6.8,264
527,9/2/1994,2201126,Once Were Warriors,7.6,106
533,9/4/2005,192452832,The Curse of the Were-Rabbit,6.8,660
534,5/20/2009,371353001,Terminator Salvation,5.9,2496
535,4/14/1983,92921203,Flashdance,6.1,313
539,6/16/1960,32000000,Psycho,8.3,2405
544,7/15/1998,369884651,Theres Something About Mary,6.5,1616
546,12/23/2005,13350369,Transamerica,6.9,149
547,5/14/1998,186883563,The Horse Whisperer,6.7,296
548,12/26/1950,96568,Rashomon,8,471
549,8/9/1996,3011195,Basquiat,6.6,97
550,10/15/1999,100853753,Fight Club,8.3,9678
551,12/1/1972,84563118,The Poseidon Adventure,7.3,274
553,5/19/2003,16680836,Dogville,7.6,619
557,5/1/2002,821708551,Spider-Man,6.8,5398
558,6/25/2004,783766341,Spider-Man 2,6.7,4432
559,5/1/2007,890871626,Spider-Man 3,5.9,3687
561,2/8/2005,230884728,Constantine,6.6,1837
562,7/15/1988,140767956,Die Hard,7.5,4005
563,11/6/1997,121214377,Starship Troopers,6.7,1584
564,4/16/1999,415885488,The Mummy,6.6,2796
565,10/18/2002,249348933,The Ring,6.5,1720
567,8/1/1954,36764313,Rear Window,8.2,1531
568,6/30/1995,355237933,Apollo 13,7.3,1637
571,3/28/1963,11403529,The Birds,7.3,959
573,5/25/1972,12600000,Frenzy,7.2,162
574,6/1/1956,10250000,The Man Who Knew Too Much,7.3,276
576,6/17/1969,638641,The Wild Bunch,7.7,266
577,5/20/1995,21284514,To Die For,6.7,177
578,6/18/1975,470654000,Jaws,7.5,2628
579,6/16/1978,187884007,Jaws 2,5.9,412
580,7/17/1987,51881013,Jaws: The Revenge,3.5,227
581,11/9/1990,424208848,Dances with Wolves,7.6,1084
582,3/15/2006,70000000,The Lives of Others,7.9,977
583,8/17/1979,20045115,Life of Brian,7.7,1230
584,6/5/2003,236350661,2 Fast 2 Furious,6.2,2087
586,12/25/1997,64256513,Wag the Dog,6.7,273
587,12/25/2003,122919055,Big Fish,7.6,2064
588,4/21/2006,97607453,Silent Hill,6.3,1093
590,12/27/2002,41597830,The Hours,7,461
591,5/17/2006,767820459,The Da Vinci Code,6.5,2773
592,4/7/1974,4420000,The Conversation,7.5,377
594,6/17/2004,219417255,The Terminal,7.1,1974
595,12/25/1962,13129846,To Kill a Mockingbird,7.9,676
597,11/18/1997,1845034188,Titanic,7.5,7770
598,2/5/2002,30641770,City of God,8.2,1852
599,8/10/1950,5000000,Sunset Boulevard,8.2,533
600,6/26/1987,46357676,Full Metal Jacket,7.9,2595
601,4/3/1982,792965326,E.T. the Extra-Terrestrial,7.3,3359
602,6/25/1996,816969268,Independence Day,6.7,3334
603,3/30/1999,463517383,The Matrix,7.9,9079
604,5/15/2003,738599701,The Matrix Reloaded,6.7,3500
605,11/5/2003,424988211,The Matrix Revolutions,6.4,3155
606,12/20/1985,128499205,Out of Africa,7,290
607,7/2/1997,589390539,Men in Black,6.9,4521
608,7/3/2002,441818803,Men in Black II,6.1,3188
609,6/4/1982,122200000,Poltergeist,7.1,811
